TYPE,ENROLLMENT_GRADES_K_12,LUNCH_COUNT_FREE_REDUCED,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_BLACK,ENROLLMENT_HISPANIC,ENROLLMENT_INDIAN,ENROLLMENT_MULTIRACIAL,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_WHITE
Neighborhood,29452,18538,0,0,26031,192,0,0,0,2861
Alternative,1263,549,0,0,1019,0,0,0,0,212
Magent,13549,8314,0,0,8588,176,0,0,0,4634
