YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,TITLE1_FLAG,TITLE1_FLAG_DESC,ENROLLMENT_GRADES_K_12,JANUARY_MEMBERSHIP,LUNCH_COUNT_FREE_REDUCED,LUNCH_COUNT_FREE_REDUCTED_PCT,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PCT,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_ASIAN_PACIFIC_ISLANDER_PCT,ENROLLMENT_BLACK,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_INDIAN,ENROLLMENT_INDIAN_PCT,ENROLLMENT_MULTIRACIAL,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_PACIFIC_ISLANDER_PCT,ENROLLMENT_WHITE,ENROLLMENT_WHITE_PCT,ENROLLMENT_ELL_LEP,ENROLLMENT_ELL_LEP_PCT,ENROLLMENT_GRADE_PK_ELL_LEP,ENROLLMENT_GRADE_PK_ELL_LEP_PCT,IEP_SCHOOLAGE_CHILDCOUNT,IEP_INCIDENCE_RATE
1995,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,105,72,*,*,NULL,NULL,*,*,99,94.29,*,*,*,*,*,*,NULL,NULL,6,5.71,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,94,73,35,47.9,NULL,NULL,*,*,90,95.74,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,88,70,43,61.4,NULL,NULL,*,*,83,94.32,*,*,*,*,*,*,NULL,NULL,5,5.68,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,82,78,35,44.9,NULL,NULL,*,*,77,93.9,*,*,*,*,*,*,NULL,NULL,5,6.1,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,70,39,15,38.5,NULL,NULL,*,*,69,98.57,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,71,69,32,46.4,NULL,NULL,*,*,65,91.55,*,*,*,*,*,*,NULL,NULL,5,7.04,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,86,81,43,53.1,NULL,NULL,*,*,75,87.21,*,*,*,*,*,*,NULL,NULL,11,12.79,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,92,82,35,42.7,NULL,NULL,*,*,89,96.74,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,73,89,43,48.3,NULL,NULL,*,*,72,98.63,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,98,98,45,45.9,NULL,NULL,*,*,93,94.9,*,*,*,*,*,*,NULL,NULL,5,5.1,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,68,87,51,58.6,NULL,NULL,*,*,65,95.59,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,NULL, ,203,426,191,44.8,NULL,NULL,*,*,258,127.09,8,3.94,*,*,*,*,NULL,NULL,171,84.24,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,NULL, ,409,397,158,39.8,NULL,NULL,*,*,238,58.19,*,*,*,*,*,*,NULL,NULL,167,40.83,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,NULL, ,428,255,128,50.2,NULL,NULL,*,*,291,67.99,*,*,*,*,*,*,NULL,NULL,132,30.84,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,NULL, ,430,322,192,59.6,NULL,NULL,*,*,318,73.95,*,*,*,*,*,*,NULL,NULL,108,25.12,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,NULL, ,310,309,288,93.2,NULL,NULL,*,*,245,79.03,*,*,*,*,*,*,NULL,NULL,62,20,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,617,603,440,73,NULL,NULL,*,*,556,90.11,*,*,*,*,*,*,NULL,NULL,57,9.24,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1120,O'FALLON TECHNICAL SCH.,NULL, ,421,445,*,*,NULL,NULL,*,*,322,76.48,*,*,*,*,*,*,NULL,NULL,97,23.04,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1120,O'FALLON TECHNICAL SCH.,NULL, ,108,79,*,*,NULL,NULL,*,*,90,83.33,*,*,*,*,*,*,NULL,NULL,17,15.74,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,978,907,*,*,NULL,NULL,*,*,562,57.46,*,*,*,*,*,*,NULL,NULL,390,39.88,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1278,1085,*,*,NULL,NULL,*,*,730,57.12,9,0.7,*,*,*,*,NULL,NULL,520,40.69,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1238,1085,*,*,NULL,NULL,*,*,687,55.49,12,0.97,*,*,*,*,NULL,NULL,510,41.2,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1263,1130,644,57,NULL,NULL,*,*,721,57.09,9,0.71,*,*,*,*,NULL,NULL,507,40.14,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1268,1183,744,62.9,NULL,NULL,*,*,724,57.1,12,0.95,*,*,*,*,NULL,NULL,488,38.49,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1383,1263,738,58.4,NULL,NULL,*,*,787,56.91,9,0.65,*,*,*,*,NULL,NULL,520,37.6,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1357,1305,737,56.5,NULL,NULL,*,*,773,56.96,11,0.81,*,*,*,*,NULL,NULL,503,37.07,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1380,1293,708,54.8,NULL,NULL,*,*,802,58.12,12,0.87,*,*,*,*,NULL,NULL,494,35.8,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1431,1354,742,54.8,NULL,NULL,*,*,831,58.07,12,0.84,*,*,*,*,NULL,NULL,521,36.41,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1485,1395,886,63.5,NULL,NULL,*,*,849,57.17,20,1.35,*,*,*,*,NULL,NULL,547,36.84,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1486,1395,917,65.7,NULL,NULL,*,*,873,58.75,17,1.14,*,*,*,*,NULL,NULL,527,35.46,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1424,1362,917,67.3,NULL,NULL,*,*,831,58.36,22,1.54,*,*,*,*,NULL,NULL,503,35.32,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1340,1267,700,55.2,NULL,NULL,*,*,794,59.25,17,1.27,*,*,*,*,NULL,NULL,447,33.36,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,1221,GATEWAY MICHAEL HIGH,NULL, ,15,15,*,*,NULL,NULL,*,*,8,53.33,*,*,*,*,*,*,NULL,NULL,6,40,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,1221,GATEWAY MICHAEL HIGH,NULL, ,13,15,*,*,NULL,NULL,*,*,8,61.54,*,*,*,*,*,*,NULL,NULL,5,38.46,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,1221,GATEWAY MICHAEL HIGH,NULL, ,15,15,*,*,NULL,NULL,*,*,12,80,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1221,GATEWAY MICHAEL HIGH,NULL, ,17,16,*,*,NULL,NULL,*,*,13,76.47,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1221,GATEWAY MICHAEL HIGH,NULL, ,10,10,*,*,NULL,NULL,*,*,6,60,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1221,GATEWAY MICHAEL HIGH,NULL, ,0,0,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1221,GATEWAY MICHAEL HIGH,NULL, ,0,0,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,NULL, ,40,46,41,89.1,NULL,NULL,*,*,26,65,*,*,*,*,*,*,NULL,NULL,14,35,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,NULL, ,45,60,51,85,NULL,NULL,*,*,29,64.44,*,*,*,*,*,*,NULL,NULL,16,35.56,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,NULL, ,73,84,67,79.8,NULL,NULL,*,*,50,68.49,*,*,*,*,*,*,NULL,NULL,23,31.51,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,NULL, ,88,87,68,78.2,NULL,NULL,*,*,65,73.86,*,*,*,*,*,*,NULL,NULL,22,25,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,NULL, ,103,103,88,85.4,NULL,NULL,*,*,81,78.64,*,*,*,*,*,*,NULL,NULL,20,19.42,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,NULL, ,103,109,85,78,NULL,NULL,*,*,80,77.67,*,*,*,*,*,*,NULL,NULL,20,19.42,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,NULL, ,113,117,94,80.3,NULL,NULL,*,*,91,80.53,*,*,*,*,*,*,NULL,NULL,18,15.93,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,NULL, ,120,120,100,83.3,NULL,NULL,*,*,94,78.33,*,*,*,*,*,*,NULL,NULL,24,20,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,NULL, ,101,104,87,83.7,NULL,NULL,*,*,81,80.2,*,*,*,*,*,*,NULL,NULL,18,17.82,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,795,771,*,*,NULL,NULL,*,*,794,99.87,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,742,637,*,*,NULL,NULL,*,*,740,99.73,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1281,1135,*,*,NULL,NULL,*,*,1279,99.84,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1460,1185,*,*,NULL,NULL,*,*,1459,99.93,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1239,1107,*,*,NULL,NULL,*,*,1237,99.84,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1218,1148,752,65.5,NULL,NULL,*,*,1218,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1274,1105,696,63,NULL,NULL,*,*,1274,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1238,1062,571,53.8,NULL,NULL,*,*,1238,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1219,1064,679,63.8,NULL,NULL,*,*,1218,99.92,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1465,1347,612,45.4,NULL,NULL,*,*,1465,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1492,1380,755,54.7,NULL,NULL,*,*,1490,99.87,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1475,1385,799,57.7,NULL,NULL,*,*,1473,99.86,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1423,1353,934,69,NULL,NULL,*,*,1422,99.93,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1433,1256,976,77.7,NULL,NULL,*,*,1433,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1380,1363,1275,93.5,NULL,NULL,*,*,1377,99.78,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1290,CTR. FOR MGMT. LAW & PUB. POL.,NULL, ,282,265,*,*,NULL,NULL,*,*,164,58.16,*,*,*,*,*,*,NULL,NULL,110,39.01,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1290,CTR. FOR MGMT. LAW & PUB. POL.,NULL, ,298,283,*,*,NULL,NULL,*,*,165,55.37,6,2.01,*,*,*,*,NULL,NULL,123,41.28,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,1290,CTR. FOR MGMT. LAW & PUB. POL.,NULL, ,318,312,*,*,NULL,NULL,*,*,157,49.37,*,*,*,*,*,*,NULL,NULL,151,47.48,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1380,CONTINUED EDUCATION PROJECT,NULL, ,153,150,*,*,NULL,NULL,*,*,140,91.5,*,*,*,*,*,*,NULL,NULL,12,7.84,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1380,CONTINUED EDUCATION PROJECT,NULL, ,123,141,*,*,NULL,NULL,*,*,108,87.8,*,*,*,*,*,*,NULL,NULL,14,11.38,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,1380,CONTINUED EDUCATION PROJECT,NULL, ,135,134,*,*,NULL,NULL,*,*,128,94.81,*,*,*,*,*,*,NULL,NULL,7,5.19,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,1380,CONTINUED EDUCATION PROJECT,NULL, ,139,146,*,*,NULL,NULL,*,*,128,92.09,*,*,*,*,*,*,NULL,NULL,11,7.91,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,1380,CONTINUED EDUCATION PROJECT,NULL, ,109,116,*,*,NULL,NULL,*,*,106,97.25,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,1380,CONTINUED EDUCATION PROJECT,NULL, ,92,114,94,82.5,NULL,NULL,*,*,83,90.22,*,*,*,*,*,*,NULL,NULL,9,9.78,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,1380,MEDIA P. WASHINGTON ED. CTR.,NULL, ,96,117,79,67.5,NULL,NULL,*,*,87,90.63,*,*,*,*,*,*,NULL,NULL,8,8.33,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,1380,MEDIA P. WASHINGTON ED. CTR.,NULL, ,120,116,79,68.1,NULL,NULL,*,*,115,95.83,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,1380,MEDIA P. WASHINGTON ED. CTR.,NULL, ,120,102,69,67.6,NULL,NULL,*,*,108,90,*,*,*,*,*,*,NULL,NULL,11,9.17,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1380,MEDIA P. WASHINGTON ED. CTR.,NULL, ,112,102,77,75.5,NULL,NULL,*,*,104,92.86,*,*,*,*,*,*,NULL,NULL,6,5.36,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1380,MEDIA P. WASHINGTON EDUC. CTR.,NULL, ,111,106,74,69.8,NULL,NULL,*,*,102,91.89,*,*,*,*,*,*,NULL,NULL,8,7.21,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1380,MEDIA P. WASHINGTON EDUC. CTR.,NULL, ,128,127,95,74.8,NULL,NULL,*,*,116,90.63,*,*,*,*,*,*,NULL,NULL,12,9.38,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1380,MEDIA P. WASHINGTON EDUC. CTR.,NULL, ,120,112,88,78.6,NULL,NULL,*,*,113,94.17,*,*,*,*,*,*,NULL,NULL,5,4.17,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,1380,MEDA P. WASHINGTON EDUC. CTR.,NULL, ,88,88,77,87.5,NULL,NULL,*,*,79,89.77,*,*,*,*,*,*,NULL,NULL,9,10.23,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,1380,MEDA P. WASHINGTON EDUC. CTR.,NULL, ,105,86,78,90.7,NULL,NULL,*,*,95,90.48,*,*,*,*,*,*,NULL,NULL,7,6.67,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1410,HEALTH CAREERS HIGH,NULL, ,388,361,*,*,NULL,NULL,*,*,205,52.84,*,*,*,*,*,*,NULL,NULL,176,45.36,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1410,HEALTH CAREERS HIGH,NULL, ,387,356,*,*,NULL,NULL,*,*,209,54.01,*,*,*,*,*,*,NULL,NULL,173,44.7,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1420,HONORS ART,NULL, ,0,19,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1420,HONORS ART,NULL, ,0,0,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,1420,HONORS ART,NULL, ,0,0,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,1420,HONORS ART,NULL, ,0,0,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,922,856,*,*,NULL,NULL,*,*,533,57.81,*,*,*,*,*,*,NULL,NULL,382,41.43,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,971,937,*,*,NULL,NULL,*,*,554,57.05,*,*,*,*,*,*,NULL,NULL,408,42.02,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,950,884,*,*,NULL,NULL,*,*,536,56.42,*,*,*,*,*,*,NULL,NULL,402,42.32,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,974,943,*,*,NULL,NULL,*,*,549,56.37,*,*,*,*,*,*,NULL,NULL,417,42.81,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,998,922,*,*,NULL,NULL,*,*,554,55.51,6,0.6,*,*,*,*,NULL,NULL,434,43.49,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,1016,899,443,49.3,NULL,NULL,*,*,588,57.87,7,0.69,*,*,*,*,NULL,NULL,418,41.14,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,1027,962,588,61.1,NULL,NULL,*,*,586,57.06,9,0.88,*,*,*,*,NULL,NULL,428,41.67,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,1075,961,292,30.4,NULL,NULL,*,*,634,58.98,8,0.74,*,*,*,*,NULL,NULL,430,40,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,1038,983,548,55.7,NULL,NULL,*,*,595,57.32,9,0.87,*,*,*,*,NULL,NULL,426,41.04,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,1058,978,556,56.9,NULL,NULL,*,*,629,59.45,13,1.23,*,*,*,*,NULL,NULL,404,38.19,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,1065,937,564,60.2,NULL,NULL,*,*,633,59.44,18,1.69,*,*,*,*,NULL,NULL,399,37.46,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,930,865,556,64.3,NULL,NULL,*,*,579,62.26,14,1.51,*,*,*,*,NULL,NULL,324,34.84,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,940,910,660,72.5,NULL,NULL,*,*,579,61.6,15,1.6,*,*,*,*,NULL,NULL,331,35.21,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,976,943,649,68.8,NULL,NULL,*,*,572,58.61,31,3.18,*,*,*,*,NULL,NULL,353,36.17,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,785,739,548,74.2,NULL,NULL,*,*,440,56.05,36,4.59,*,*,*,*,NULL,NULL,291,37.07,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1500,ACADEMY OF MATH AND SCIENCE,NULL, ,791,417,*,*,NULL,NULL,*,*,585,73.96,*,*,*,*,*,*,NULL,NULL,189,23.89,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1500,ACADEMY OF MATH AND SCIENCE,NULL, ,426,424,*,*,NULL,NULL,*,*,235,55.16,*,*,*,*,*,*,NULL,NULL,177,41.55,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1530,MCKINLEY HIGH,NULL, ,17,14,*,*,NULL,NULL,*,*,16,94.12,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,224,208,*,*,NULL,NULL,*,*,110,49.11,*,*,*,*,*,*,NULL,NULL,103,45.98,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,217,199,*,*,NULL,NULL,*,*,115,53,*,*,*,*,*,*,NULL,NULL,94,43.32,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,202,195,*,*,NULL,NULL,*,*,106,52.48,*,*,*,*,*,*,NULL,NULL,84,41.58,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,219,211,*,*,NULL,NULL,*,*,111,50.68,*,*,*,*,*,*,NULL,NULL,103,47.03,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,220,213,*,*,NULL,NULL,*,*,111,50.45,*,*,*,*,*,*,NULL,NULL,107,48.64,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,247,241,43,17.8,NULL,NULL,*,*,133,53.85,*,*,*,*,*,*,NULL,NULL,110,44.53,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,255,244,48,19.7,NULL,NULL,*,*,128,50.2,*,*,*,*,*,*,NULL,NULL,123,48.24,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,258,249,51,20.5,NULL,NULL,*,*,130,50.39,*,*,*,*,*,*,NULL,NULL,123,47.67,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,1560,METRO HIGH,NULL, ,253,255,36,14.1,NULL,NULL,*,*,125,49.41,*,*,*,*,*,*,NULL,NULL,123,48.62,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,266,263,35,13.3,NULL,NULL,*,*,135,50.75,*,*,*,*,*,*,NULL,NULL,127,47.74,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,256,254,33,13,NULL,NULL,*,*,124,48.44,*,*,*,*,*,*,NULL,NULL,125,48.83,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,246,237,36,15.2,NULL,NULL,*,*,111,45.12,*,*,*,*,*,*,NULL,NULL,123,50,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,236,230,42,18.3,NULL,NULL,*,*,113,47.88,*,*,*,*,*,*,NULL,NULL,110,46.61,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,232,234,62,26.5,NULL,NULL,*,*,114,49.14,*,*,*,*,*,*,NULL,NULL,103,44.4,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,1560,METRO HIGH,NULL, ,258,245,71,29,NULL,NULL,*,*,127,49.22,*,*,*,*,*,*,NULL,NULL,119,46.12,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1590,NORTHWEST HIGH,NULL, ,594,525,*,*,NULL,NULL,*,*,593,99.83,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1590,NORTHWEST HIGH,NULL, ,566,480,*,*,NULL,NULL,*,*,565,99.82,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,1680,ROOSEVELT HIGH,NULL, ,2075,1800,*,*,NULL,NULL,*,*,1310,63.13,30,1.45,*,*,*,*,NULL,NULL,565,27.23,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,1680,ROOSEVELT HIGH,NULL, ,1541,1491,*,*,NULL,NULL,*,*,925,60.03,31,2.01,*,*,*,*,NULL,NULL,442,28.68,*,*,*,*,*,*
