YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,TITLE1_FLAG,TITLE1_FLAG_DESC,ENROLLMENT_GRADES_K_12,JANUARY_MEMBERSHIP,LUNCH_COUNT_FREE_REDUCED,LUNCH_COUNT_FREE_REDUCED_PCT,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PCT,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_ASIAN_PACIFIC_ISLANDER_PCT,ENROLLMENT_BLACK,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_INDIAN,ENROLLMENT_INDIAN_PCT,ENROLLMENT_MULTIRACIAL,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_PACIFIC_ISLANDER_PCT,ENROLLMENT_WHITE,ENROLLMENT_WHITE_PCT,ENROLLMENT_ELL_LEP,ENROLLMENT_ELL_LEP_PCT,ENROLLMENT_GRADE_PK_ELL_LEP,ENROLLMENT_GRADE_PK_ELL_LEP_PCT,IEP_SCHOOLAGE_CHILDCOUNT,IEP_INCIDENCE_RATE
2006,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,69,92,53,57.6,NULL,NULL,*,*,63,91.3,*,*,*,*,*,*,NULL,NULL,5,7.25,*,*,*,*,29,42.03
2007,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,69,87,33,37.9,NULL,NULL,*,*,65,94.2,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,39,56.52
2008,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,46,23,*,*,NULL,NULL,*,*,46,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,7,15.22
2009,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,23,35,12,34.3,NULL,NULL,*,*,22,95.65,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,17,73.91
2010,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,36,52,25,48.1,NULL,NULL,*,*,35,97.22,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2011,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,NULL, ,43,44,29,65.9,*,*,NULL,NULL,41,95.35,*,*,*,*,*,*,*,*,*,*,*,*,*,*,14,32.56
2015,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,NULL, ,12,26,*,*,*,*,NULL,NULL,11,91.67,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,58.33
2016,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,T,TARGETED,26,29,*,*,*,*,NULL,NULL,26,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,19.23
2017,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,NULL, ,22,30,*,*,*,*,NULL,NULL,22,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,27.27
2018,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,NULL, ,11,21,*,*,*,*,NULL,NULL,10,90.91,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,NULL, ,21,23,*,*,*,*,NULL,NULL,21,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,23.81
2020,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,S,SCHOOLWIDE,11,16,*,*,*,*,NULL,NULL,10,90.91,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,115115,ST. LOUIS CITY,1020,MADISON ALT. EDUCATION SCH.,NULL, ,59,145,123,84.8,NULL,NULL,*,*,55,93.22,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,26,44.07
2008,115115,ST. LOUIS CITY,1021,BIG PICTURE ELEM. ALT.,NULL, ,58,70,60,85.7,NULL,NULL,*,*,55,94.83,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,8,13.79
2009,115115,ST. LOUIS CITY,1021,BIG PICTURE ELEM. ALT.,NULL, ,63,62,52,83.9,NULL,NULL,*,*,61,96.83,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,7,11.11
2008,115115,ST. LOUIS CITY,1022,BIG PICTURE MIDDLE ALT.,NULL, ,60,58,43,74.1,NULL,NULL,*,*,58,96.67,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,5,8.33
2009,115115,ST. LOUIS CITY,1022,BIG PICTURE MIDDLE ALT.,NULL, ,64,67,47,70.1,NULL,NULL,*,*,62,96.88,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,11,17.19
2008,115115,ST. LOUIS CITY,1023,BIG PICTURE HIGH SCHOOL ALT.,NULL, ,65,58,43,74.1,NULL,NULL,*,*,60,92.31,*,*,*,*,*,*,NULL,NULL,5,7.69,*,*,*,*,19,29.23
2009,115115,ST. LOUIS CITY,1023,BIG PICTURE HIGH SCHOOL ALT.,NULL, ,85,90,70,77.8,NULL,NULL,*,*,76,89.41,*,*,*,*,*,*,NULL,NULL,9,10.59,*,*,*,*,18,21.18
2010,115115,ST. LOUIS CITY,1023,BIG PICTURE MIDDLE & HIGH @ NW,NULL, ,139,124,112,90.3,NULL,NULL,*,*,133,95.68,*,*,*,*,*,*,NULL,NULL,5,3.6,*,*,*,*,25,17.99
2011,115115,ST. LOUIS CITY,1023,BIG PICTURE MIDDLE & HIGH @ NW,S,SCHOOLWIDE,121,113,96,85,*,*,NULL,NULL,114,94.21,*,*,*,*,*,*,*,*,6,4.96,*,*,*,*,22,18.18
2016,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,NULL, ,0,0,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,NULL, ,0,0,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,NULL, ,0,0,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,NULL, ,0,0,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,NULL, ,0,0,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,722,697,446,64,NULL,NULL,*,*,672,93.07,*,*,*,*,*,*,NULL,NULL,45,6.23,*,*,*,*,80,11.08
2007,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,732,719,526,73.2,NULL,NULL,*,*,679,92.76,6,0.82,*,*,*,*,NULL,NULL,47,6.42,*,*,*,*,76,10.38
2008,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,712,696,379,54.5,NULL,NULL,*,*,660,92.7,5,0.7,*,*,*,*,NULL,NULL,46,6.46,*,*,*,*,65,9.13
2009,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,729,710,456,64.2,NULL,NULL,*,*,683,93.69,6,0.82,*,*,*,*,NULL,NULL,38,5.21,*,*,*,*,72,9.88
2010,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,NULL, ,725,715,583,81.5,NULL,NULL,*,*,680,93.79,6,0.83,*,*,*,*,NULL,NULL,34,4.69,5,0.69,*,*,80,11.03
2011,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,703,690,563,81.6,5,0.71,NULL,NULL,665,94.59,8,1.14,*,*,*,*,*,*,24,3.41,7,1,*,*,87,12.38
2012,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,807,785,639,81.4,5,0.62,NULL,NULL,762,94.42,7,0.87,*,*,*,*,*,*,31,3.84,*,*,*,*,95,11.77
2013,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,788,777,663,85.3,*,*,NULL,NULL,752,95.43,8,1.02,*,*,*,*,*,*,22,2.79,*,*,*,*,85,10.79
2014,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,710,678,572,84.4,*,*,NULL,NULL,679,95.63,6,0.85,*,*,*,*,*,*,23,3.24,*,*,*,*,79,11.13
2015,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,685,674,*,*,*,*,NULL,NULL,655,95.62,*,*,*,*,*,*,*,*,26,3.8,*,*,*,*,68,9.93
2016,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,666,628,*,*,*,*,NULL,NULL,644,96.7,*,*,*,*,*,*,*,*,18,2.7,*,*,*,*,68,10.21
2017,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,593,576,*,*,*,*,NULL,NULL,570,96.12,5,0.84,*,*,*,*,*,*,16,2.7,*,*,*,*,47,7.93
2018,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,602,576,*,*,*,*,NULL,NULL,585,97.18,5,0.83,*,*,*,*,*,*,10,1.66,7,1.16,*,*,45,7.48
2019,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,543,532,*,*,*,*,NULL,NULL,530,97.61,5,0.92,*,*,*,*,*,*,7,1.29,8,1.47,*,*,39,7.18
2020,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,S,SCHOOLWIDE,494,492.5,*,*,*,*,NULL,NULL,478,96.76,6,1.21,*,*,*,*,*,*,8,1.62,11,2.23,*,*,27,5.47
2006,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1442,1329.27,772,58.1,NULL,NULL,*,*,889,61.65,24,1.66,5,0.35,*,*,NULL,NULL,442,30.65,*,*,*,*,196,13.59
2007,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1250,1199.98,806,67.2,NULL,NULL,*,*,831,66.48,22,1.76,5,0.4,*,*,NULL,NULL,343,27.44,*,*,*,*,217,17.36
2008,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1213,1142,598,52.4,NULL,NULL,62,5.11,821,67.68,22,1.81,8,0.66,*,*,NULL,NULL,300,24.73,*,*,*,*,219,18.05
2009,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1154,1110,628,56.6,NULL,NULL,56,4.85,797,69.06,34,2.95,6,0.52,*,*,NULL,NULL,261,22.62,*,*,*,*,205,17.76
2010,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1123,1080,824,76.3,NULL,NULL,53,4.72,759,67.59,37,3.29,*,*,*,*,NULL,NULL,271,24.13,101,8.99,*,*,171,15.23
2011,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,S,SCHOOLWIDE,1165,1095,825,75.3,72,6.18,NULL,NULL,726,62.32,47,4.03,*,*,*,*,*,*,317,27.21,125,10.73,*,*,158,13.56
2012,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,NULL, ,1200,1158.5,975.3,84.2,94,7.83,NULL,NULL,731,60.92,57,4.75,*,*,*,*,*,*,316,26.33,131,10.92,*,*,166,13.83
2013,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,S,SCHOOLWIDE,1177,1119,916,81.9,103,8.75,NULL,NULL,705,59.9,69,5.86,*,*,*,*,*,*,296,25.15,122,10.37,*,*,166,14.1
2014,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,S,SCHOOLWIDE,1158,1131,906,80.1,104,8.98,NULL,NULL,687,59.33,84,7.25,*,*,*,*,*,*,279,24.09,121,10.45,*,*,171,14.77
2015,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,S,SCHOOLWIDE,1121,1084.09,*,*,97,8.65,NULL,NULL,668,59.59,90,8.03,*,*,*,*,*,*,263,23.46,153,13.65,*,*,159,14.18
2016,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,S,SCHOOLWIDE,1148,1114.59,*,*,107,9.32,NULL,NULL,697,60.71,114,9.93,*,*,*,*,*,*,227,19.77,173,15.07,*,*,183,15.94
2017,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,S,SCHOOLWIDE,1104,1099.72,*,*,91,8.24,NULL,NULL,680,61.59,127,11.5,*,*,*,*,*,*,203,18.39,205,18.57,*,*,161,14.58
2018,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,S,SCHOOLWIDE,1075,1029.5,*,*,81,7.53,NULL,NULL,676,62.88,124,11.53,*,*,*,*,*,*,191,17.77,218,20.28,*,*,152,14.14
2019,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,S,SCHOOLWIDE,970,940.6,*,*,78,8.04,NULL,NULL,586,60.41,134,13.81,*,*,*,*,*,*,171,17.63,209,21.55,*,*,149,15.36
2020,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,S,SCHOOLWIDE,976,939,*,*,66,6.76,NULL,NULL,616,63.11,140,14.34,*,*,*,*,*,*,153,15.68,181,18.55,*,*,151,15.47
2006,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,NULL, ,117,124,100,80.6,NULL,NULL,*,*,93,79.49,*,*,*,*,*,*,NULL,NULL,24,20.51,*,*,*,*,*,*
2007,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,NULL, ,129,130,107,82.3,NULL,NULL,*,*,106,82.17,*,*,*,*,*,*,NULL,NULL,22,17.05,*,*,*,*,*,*
2008,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,T,TARGETED,145,145,103,71,NULL,NULL,*,*,124,85.52,*,*,*,*,*,*,NULL,NULL,19,13.1,*,*,*,*,*,*
2009,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,T,TARGETED,131,131,104,79.4,NULL,NULL,*,*,111,84.73,*,*,*,*,*,*,NULL,NULL,17,12.98,*,*,*,*,*,*
2010,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,S,SCHOOLWIDE,141,135,117,86.7,NULL,NULL,*,*,115,81.56,*,*,*,*,*,*,NULL,NULL,23,16.31,*,*,*,*,*,*
2011,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,S,SCHOOLWIDE,131,127,115,90.6,*,*,NULL,NULL,109,83.21,*,*,*,*,*,*,*,*,16,12.21,*,*,*,*,*,*
2012,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,S,SCHOOLWIDE,123,121,106,87.6,*,*,NULL,NULL,99,80.49,*,*,*,*,*,*,*,*,20,16.26,*,*,*,*,*,*
2013,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,S,SCHOOLWIDE,132,122,103,84.4,*,*,NULL,NULL,104,78.79,*,*,*,*,*,*,*,*,21,15.91,8,6.06,*,*,*,*
2014,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,S,SCHOOLWIDE,119,112,98,87.5,*,*,NULL,NULL,82,68.91,*,*,*,*,*,*,*,*,31,26.05,7,5.88,*,*,114,95.8
2015,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,S,SCHOOLWIDE,136,137,*,*,*,*,NULL,NULL,100,73.53,*,*,*,*,*,*,*,*,27,19.85,12,8.82,*,*,*,*
2016,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,S,SCHOOLWIDE,143,136,*,*,6,4.2,NULL,NULL,104,72.73,6,4.2,*,*,*,*,*,*,27,18.88,13,9.09,*,*,136,95.1
2017,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,S,SCHOOLWIDE,138,136,*,*,*,*,NULL,NULL,103,74.64,6,4.35,*,*,*,*,*,*,27,19.57,11,7.97,*,*,*,*
2018,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,S,SCHOOLWIDE,133,126,*,*,*,*,NULL,NULL,101,75.94,7,5.26,*,*,*,*,*,*,22,16.54,14,10.53,*,*,128,96.24
2019,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,S,SCHOOLWIDE,122,120,*,*,*,*,NULL,NULL,91,74.59,8,6.56,*,*,*,*,*,*,20,16.39,10,8.2,*,*,*,*
2020,115115,ST. LOUIS CITY,1222,COMMUNITY ACCESS JOB TRAINING,S,SCHOOLWIDE,124,117,*,*,*,*,NULL,NULL,99,79.84,8,6.45,*,*,*,*,*,*,14,11.29,14,11.29,*,*,*,*
2006,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1394,1296,1002,77.3,NULL,NULL,*,*,1389,99.64,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,376,26.97
2007,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1218,978,695,71.1,NULL,NULL,*,*,1214,99.67,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,271,22.25
2008,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,1062,887,528,59.5,NULL,NULL,*,*,1055,99.34,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,242,22.79
2009,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,NULL, ,899,810,461,56.9,NULL,NULL,*,*,893,99.33,*,*,*,*,*,*,NULL,NULL,5,0.56,*,*,*,*,237,26.36
2010,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,T,TARGETED,782,680,537,79,NULL,NULL,*,*,779,99.62,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,199,25.45
2011,115115,ST. LOUIS CITY,1250,BEAUMONT HIGH,S,SCHOOLWIDE,714,710,548,77.2,*,*,NULL,NULL,713,99.86,*,*,*,*,*,*,*,*,*,*,*,*,*,*,177,24.79
2012,115115,ST. LOUIS CITY,1250,BEAUMONT CTE HIGH SCHOOL,S,SCHOOLWIDE,335,347,291,83.9,*,*,NULL,NULL,334,99.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,60,17.91
2013,115115,ST. LOUIS CITY,1250,BEAUMONT CTE HIGH SCHOOL,S,SCHOOLWIDE,152,136,125,91.9,*,*,NULL,NULL,151,99.34,*,*,*,*,*,*,*,*,*,*,*,*,*,*,36,23.68
2014,115115,ST. LOUIS CITY,1250,BEAUMONT CTE HIGH SCHOOL,S,SCHOOLWIDE,63,62,51,82.3,*,*,NULL,NULL,63,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,13,20.63
2015,115115,ST. LOUIS CITY,1250,BEAUMONT CTE HIGH SCHOOL,NULL, ,442,411,*,*,*,*,NULL,NULL,398,90.05,7,1.58,*,*,*,*,*,*,33,7.47,*,*,*,*,106,23.98
2016,115115,ST. LOUIS CITY,1250,BEAUMONT CTE HIGH SCHOOL,S,SCHOOLWIDE,456,547,*,*,20,4.39,NULL,NULL,346,75.88,57,12.5,*,*,*,*,*,*,32,7.02,119,26.1,*,*,78,17.11
2017,115115,ST. LOUIS CITY,1250,BEAUMONT CTE HIGH SCHOOL,NULL, ,575,505,*,*,18,3.13,NULL,NULL,424,73.74,39,6.78,*,*,*,*,*,*,94,16.35,143,24.87,*,*,86,14.96
2018,115115,ST. LOUIS CITY,1250,BEAUMONT CTE HIGH SCHOOL,NULL, ,583,673,*,*,10,1.72,NULL,NULL,454,77.87,40,6.86,*,*,*,*,*,*,79,13.55,121,20.75,*,*,83,14.24
2019,115115,ST. LOUIS CITY,1250,BEAUMONT CTE HIGH SCHOOL,NULL, ,412,378,*,*,15,3.64,NULL,NULL,323,78.4,37,8.98,*,*,*,*,*,*,37,8.98,86,20.87,*,*,32,7.77
2020,115115,ST. LOUIS CITY,1250,BEAUMONT CTE HIGH SCHOOL,S,SCHOOLWIDE,391,319,*,*,22,5.63,NULL,NULL,277,70.84,56,14.32,*,*,*,*,*,*,36,9.21,102,26.09,*,*,76,19.44
2006,115115,ST. LOUIS CITY,1380,MEDA P. WASHINGTON EDUC. CTR.,NULL, ,75,72,66,91.7,NULL,NULL,*,*,66,88,*,*,*,*,*,*,NULL,NULL,6,8,*,*,*,*,11,14.67
2007,115115,ST. LOUIS CITY,1380,MEDA P. WASHINGTON EDUC. CTR.,NULL, ,13,0,*,*,NULL,NULL,*,*,11,84.62,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2006,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,735,646,478,74,NULL,NULL,*,*,422,57.41,36,4.9,*,*,*,*,NULL,NULL,257,34.97,*,*,*,*,119,16.19
2007,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,401,379,256,67.5,NULL,NULL,*,*,243,60.6,22,5.49,*,*,*,*,NULL,NULL,122,30.42,*,*,*,*,53,13.22
2008,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,347,310,173,55.8,NULL,NULL,10,2.88,227,65.42,17,4.9,*,*,*,*,NULL,NULL,91,26.22,*,*,*,*,47,13.54
2009,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,NULL, ,268,247,141,57.1,NULL,NULL,7,2.61,175,65.3,17,6.34,*,*,*,*,NULL,NULL,67,25,*,*,*,*,40,14.93
2010,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,T,TARGETED,238,227,187,82.4,NULL,NULL,7,2.94,177,74.37,12,5.04,*,*,*,*,NULL,NULL,40,16.81,12,5.04,*,*,36,15.13
2011,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,S,SCHOOLWIDE,257,237,196,82.7,7,2.72,NULL,NULL,189,73.54,16,6.23,*,*,*,*,*,*,42,16.34,13,5.06,*,*,36,14.01
2012,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,S,SCHOOLWIDE,260,248,219,88.3,11,4.23,NULL,NULL,184,70.77,17,6.54,*,*,*,*,*,*,46,17.69,11,4.23,*,*,34,13.08
2013,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,S,SCHOOLWIDE,279,265,226,85.3,10,3.58,NULL,NULL,208,74.55,16,5.73,*,*,*,*,*,*,44,15.77,10,3.58,*,*,37,13.26
2014,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,S,SCHOOLWIDE,299,292,236,80.8,8,2.68,NULL,NULL,220,73.58,16,5.35,*,*,*,*,*,*,53,17.73,7,2.34,*,*,45,15.05
2015,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,S,SCHOOLWIDE,290,278,*,*,7,2.41,NULL,NULL,215,74.14,23,7.93,*,*,*,*,*,*,44,15.17,11,3.79,*,*,30,10.34
2016,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,S,SCHOOLWIDE,269,252,*,*,6,2.23,NULL,NULL,191,71,25,9.29,*,*,*,*,*,*,45,16.73,11,4.09,*,*,30,11.15
2017,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,S,SCHOOLWIDE,306,296,*,*,7,2.29,NULL,NULL,219,71.57,29,9.48,*,*,*,*,*,*,49,16.01,6,1.96,*,*,28,9.15
2018,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,S,SCHOOLWIDE,299,277,*,*,7,2.34,NULL,NULL,225,75.25,23,7.69,*,*,*,*,*,*,43,14.38,7,2.34,*,*,22,7.36
2019,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,S,SCHOOLWIDE,272,253,*,*,7,2.57,NULL,NULL,204,75,25,9.19,*,*,*,*,*,*,35,12.87,15,5.51,*,*,27,9.93
2020,115115,ST. LOUIS CITY,1440,CLEVELAND NJROTC ACADEMY,S,SCHOOLWIDE,251,231,*,*,5,1.99,NULL,NULL,187,74.5,27,10.76,*,*,*,*,*,*,32,12.75,13,5.18,*,*,20,7.97
2007,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,T,TARGETED,200,206,164,79.6,NULL,NULL,*,*,171,85.5,*,*,*,*,*,*,NULL,NULL,20,10,*,*,*,*,48,24
2008,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,T,TARGETED,198,194,140,72.2,NULL,NULL,*,*,172,86.87,*,*,*,*,*,*,NULL,NULL,21,10.61,*,*,*,*,39,19.7
2009,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,NULL, ,290,273,234,85.7,NULL,NULL,5,1.72,249,85.86,5,1.72,*,*,*,*,NULL,NULL,31,10.69,*,*,*,*,58,20
2010,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,S,SCHOOLWIDE,393,379,323,85.2,NULL,NULL,*,*,346,88.04,8,2.04,*,*,*,*,NULL,NULL,34,8.65,13,3.31,*,*,60,15.27
2011,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,S,SCHOOLWIDE,354,350,293,83.7,*,*,NULL,NULL,311,87.85,8,2.26,*,*,*,*,*,*,32,9.04,9,2.54,*,*,55,15.54
2012,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,S,SCHOOLWIDE,376,368,329,89.4,*,*,NULL,NULL,325,86.44,11,2.93,*,*,*,*,*,*,38,10.11,6,1.6,*,*,47,12.5
2013,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,S,SCHOOLWIDE,344,345,289,83.8,*,*,NULL,NULL,302,87.79,13,3.78,*,*,*,*,*,*,27,7.85,*,*,*,*,38,11.05
2014,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,S,SCHOOLWIDE,374,374,318,85,*,*,NULL,NULL,324,86.63,15,4.01,*,*,*,*,*,*,33,8.82,*,*,*,*,40,10.7
2015,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,S,SCHOOLWIDE,414,402,*,*,*,*,NULL,NULL,369,89.13,18,4.35,*,*,*,*,*,*,23,5.56,*,*,*,*,43,10.39
2016,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,S,SCHOOLWIDE,383,364,*,*,*,*,NULL,NULL,349,91.12,13,3.39,*,*,*,*,*,*,17,4.44,*,*,*,*,55,14.36
2017,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,S,SCHOOLWIDE,357,350,*,*,*,*,NULL,NULL,332,93,6,1.68,*,*,*,*,*,*,15,4.2,*,*,*,*,54,15.13
2018,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,S,SCHOOLWIDE,361,357,*,*,*,*,NULL,NULL,336,93.07,6,1.66,*,*,*,*,*,*,15,4.16,*,*,*,*,66,18.28
2019,115115,ST. LOUIS CITY,1500,CARNAHAN SCH. OF THE FUTURE,S,SCHOOLWIDE,308,301,*,*,*,*,NULL,NULL,278,90.26,5,1.62,*,*,*,*,*,*,20,6.49,*,*,*,*,62,20.13
